Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
0,1.01060289144516,0.9098654389381409,0.9033285809507967,0,1.654,2.513
0,1.080843210220337,-0.9035138189792633,-0.8957484882142418,1,1.415,1.693
0,0.9951550364494324,0.8681108057498932,0.8624892015302974,2,1.367,1.694
0,1.0112969279289246,0.8748034238815308,0.868382080710848,3,1.418,1.582
0,0.9870801270008087,0.8582774698734283,0.8585400468962114,4,1.265,1.511
0,0.8824435472488403,0.9106483161449432,0.9087992101690734,5,1.246,1.477
0,1.0433769226074219,0.74326092004776,0.706728989263236,6,1.204,1.516
0,1.014717161655426,0.6525775790214539,0.6148031593237073,7,1.209,1.469
0,1.0654115080833435,0.6206987798213959,0.5614895717635445,8,1.132,1.521
0,0.936635285615921,0.8487955331802368,0.8304485992842159,9,1.197,1.403
0,1.0814335942268372,-0.3773191571235657,-0.14908058743675184,10,1.169,1.509
0,1.1275892853736877,-0.806247889995575,-0.9062075774404543,11,1.188,1.536
0,1.0387665629386902,0.09504787623882294,0.11629225379164362,12,1.191,1.465
0,1.1137787699699402,-0.6946040093898773,-0.5568153770208566,13,1.192,1.532
0,1.049810528755188,-0.41695959866046906,-0.3390256695051216,14,1.203,1.480
0,1.0770284533500671,-0.5709927976131439,-0.31997408367271385,15,1.192,1.489
0,1.0343453288078308,-0.10453961417078972,-0.08609465630013577,16,1.248,1.476
0,1.1396825909614563,-0.8035028576850891,-0.9181167468838703,17,1.198,1.561
0,1.0248565673828125,-0.5656827986240387,-0.5427619400222141,18,1.180,1.478
0,1.0142409205436707,-0.6074244379997253,-0.6227631741330373,19,1.147,1.484
0,1.0520264506340027,-0.6592860817909241,-0.7541959767987166,20,1.099,1.522
0,0.591507226228714,0.5461631417274475,0.41512402813772686,21,0.973,1.662
0,0.4774540960788727,0.4935509115457535,0.4547698383314822,22,0.763,1.237
0,0.24766182154417038,0.9357565343379974,0.9388498087128225,23,0.763,0.559
0,0.2712399512529373,0.9345846772193909,0.9394668641243985,24,0.588,0.560
0,0.2582096457481384,0.9402998983860016,0.9376774034308283,25,0.474,0.550
0,0.20386571437120438,0.9429515600204468,0.9390657781068741,26,0.460,0.438
0,0.23078283667564392,0.9422690570354462,0.9380784894483526,27,0.525,0.464
0,0.23374882340431213,0.9433469772338867,0.9397445390596076,28,0.405,0.462
0,0.27288271486759186,0.9427546858787537,0.9385412810070346,29,0.380,0.561
1,0.4531043618917465,0.918971985578537,0.9298407997038135,0,2.169,1.281
1,0.46415509283542633,0.9047854840755463,0.926724669875355,1,1.526,1.191
1,0.45710285007953644,0.8871178925037384,0.908984326792546,2,1.516,1.221
1,0.4411027431488037,0.8578143119812012,0.8750462791558682,3,1.452,1.216
1,0.34694361686706543,0.8293926119804382,0.8551726797619814,4,1.479,0.972
1,0.2983049899339676,0.8560524880886078,0.9017647784771073,5,1.002,0.789
1,0.27179156243801117,0.9083819389343262,0.921819079353326,6,0.991,0.772
1,0.2397681474685669,0.9473882913589478,0.9403615944711836,7,0.777,0.729
1,0.23675018548965454,0.94671630859375,0.9453288905343702,8,0.713,0.704
1,0.2243390455842018,0.9535695910453796,0.9479205232629891,9,0.613,0.611
1,0.22066013514995575,0.9544840455055237,0.9488152536097744,10,0.466,0.586
1,0.23277011513710022,0.9498363137245178,0.9491546340861411,11,0.446,0.576
1,0.24346937239170074,0.9519512355327606,0.9495248673330866,12,0.487,0.585
1,0.23059724271297455,0.9567053616046906,0.9498025422682957,13,0.434,0.645
1,0.22306359559297562,0.9539922177791595,0.9495248673330866,14,0.468,0.519
1,0.2421952486038208,0.9569834768772125,0.9504195976798717,15,0.405,0.553
1,0.2164362594485283,0.956588089466095,0.9507898309268173,16,0.438,0.503
1,0.21280880272388458,0.9564098715782166,0.9509132420091325,17,0.372,0.497
1,0.2183338925242424,0.9564043879508972,0.9508206836973963,18,0.400,0.488
1,0.22736529260873795,0.9569043815135956,0.9510366530914479,19,0.372,0.504
1,0.21272829174995422,0.955810159444809,0.9506355670739234,20,0.381,0.476
1,0.23349078744649887,0.9549320638179779,0.9507281253856598,21,0.328,0.562
1,0.21584837138652802,0.954616516828537,0.9506047143033446,22,0.354,0.485
1,0.19672782719135284,0.9541797935962677,0.9503578921387142,23,0.353,0.444
1,0.1951407641172409,0.9535873532295227,0.9495248673330866,24,0.328,0.467
1,0.19851647317409515,0.9528538882732391,0.949308897939035,25,0.286,0.441
1,0.20171565562486649,0.9534510672092438,0.9494631617919291,26,0.308,0.470
1,0.19318529218435287,0.9517600238323212,0.9490312230038258,27,0.375,0.410
1,0.18927893042564392,0.9539031088352203,0.949339750709614,28,0.361,0.421
1,0.18851786106824875,0.9524553120136261,0.9484486781747264,29,0.296,0.442
2,0.984051525592804,-0.49766063690185547,-0.4743918054341689,0,1.817,1.843
2,1.1786591410636902,0.2979055345058441,0.2735715167222017,1,1.421,1.851
2,1.1822121143341064,0.4082755297422409,0.34963902258422813,2,1.305,1.911
2,1.1142611503601074,0.8142112195491791,0.8599901271134148,3,1.359,1.936
2,1.0115478038787842,0.23728623986244202,-0.08489943871686145,4,0.991,1.876
2,0.8204154968261719,0.9022548198699951,0.8944218190793534,5,0.908,1.431
2,0.3370416611433029,0.9366428554058075,0.9189806244600766,6,0.666,0.723
2,0.3324216157197952,0.9359810054302216,0.9197827964951254,7,0.539,1.481
2,0.282731294631958,0.9351520538330078,0.9160187584845121,8,0.538,0.630
2,0.2771741598844528,0.9373635947704315,0.9208626434653834,9,0.474,0.542
2,0.232553131878376,0.9356138408184052,0.9209552017771198,10,0.516,0.505
2,0.2870260924100876,0.9342442452907562,0.9213562877946442,11,0.465,0.564
2,0.23622000962495804,0.9368125796318054,0.921664815500432,12,0.395,0.460
2,0.26473604142665863,0.9380578994750977,0.921664815500432,13,0.430,0.511
2,0.2703642398118973,0.9372590780258179,0.921819079353326,14,0.435,0.521
2,0.22609636187553406,0.9370279908180237,0.9217573738121685,15,0.441,0.492
2,0.25592081248760223,0.9380919635295868,0.9221893126002716,16,0.429,0.507
2,0.22602830082178116,0.9366767704486847,0.9224361347649022,17,0.394,0.502
2,0.22887815535068512,0.9378836750984192,0.9223127236825868,18,0.359,0.510
2,0.22080034762620926,0.9383599758148193,0.922127607059114,19,0.342,0.493
2,0.22779035568237305,0.937107503414154,0.9224052819943231,20,0.339,0.565
2,0.23915336281061172,0.9390479624271393,0.921819079353326,21,0.389,0.595
2,0.21602457016706467,0.9374707639217377,0.921664815500432,22,0.338,0.500
2,0.2200848013162613,0.9366888403892517,0.9208934962359622,23,0.325,0.658
2,0.21244994550943375,0.9365465044975281,0.9206775268419105,24,0.343,0.489
2,0.21752583980560303,0.9364519417285919,0.9209243490065409,25,0.345,0.534
2,0.21960199624300003,0.9361615777015686,0.920584968530174,26,0.343,0.492
2,0.19888465106487274,0.9361706078052521,0.9207700851536469,27,0.292,0.421
2,0.21237174421548843,0.9352152943611145,0.9197982228804148,28,0.306,0.456
2,0.21505731344223022,0.9355728924274445,0.9195051215599163,29,0.245,0.407
3,0.8812406063079834,0.9490501284599304,0.9540910773787488,0,1.943,1.709
3,1.0471118092536926,0.9521592855453491,0.9553560409724795,1,1.363,1.795
3,0.9680106937885284,0.8242466747760773,0.8659755646057018,2,1.299,1.760
3,0.9072367548942566,0.5801927149295807,0.95251758607923,3,0.901,1.711
3,0.8424095213413239,0.5680346786975861,0.7115420214735284,4,0.897,1.520
3,0.33304284512996674,0.964908093214035,0.9665247439220044,5,0.646,0.866
3,0.19858787953853607,0.9662429392337799,0.9674349006540789,6,0.541,0.478
3,0.6366063058376312,0.941682368516922,0.9669566827101075,7,0.564,1.325
3,0.3825531303882599,0.9515911340713501,0.9676662964334198,8,0.618,0.730
3,0.19609805196523666,0.9659633040428162,0.967203504874738,9,0.470,0.407
3,0.24712929874658585,0.9672861099243164,0.9669566827101075,10,0.473,0.499
3,0.2345069721341133,0.9658301770687103,0.9666173022337406,11,0.458,0.459
3,0.19917873293161392,0.9650090336799622,0.9664630383808467,12,0.490,0.377
3,0.22175462543964386,0.9636451601982117,0.9655683080340616,13,0.459,0.431
3,0.1989365592598915,0.9652250409126282,0.9661236579044798,14,0.447,0.373
