Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
3,0.17420610040426254,0.9744254052639008,0.9769577709436164,0,0.04630499929189682,0.05842231214046478
3,0.2074369639158249,0.9695847928524017,0.9778586278666441,1,0.3799026072025299,0.35058364272117615
3,0.17282261699438095,0.9767246842384338,0.9784209808695953,2,0.004593856446444988,0.047595296055078506
3,0.14961912482976913,0.9758904278278351,0.978515022006663,3,0.14049392472952604,0.010868899524211884
3,0.14778495579957962,0.9765597879886627,0.9781886486837255,4,-0.18857692331075668,-0.20524783432483673
3,0.15257541090250015,0.977212518453598,0.9782980708427567,5,0.395064373803325,-0.12548288702964783
3,0.14644138514995575,0.9771167933940887,0.978570936037866,6,-0.2235706891864538,-0.1903059035539627
3,0.15032289177179337,0.9774273037910461,0.9788521647179436,7,-0.10865838229656219,-0.1517740935087204
3,0.13990125805139542,0.9782763421535492,0.9789882347812404,8,-0.4122480690479279,-0.28898733854293823
3,0.1546923965215683,0.9779018461704254,0.9791911274045171,9,-0.21726413071155548,-0.152283176779747
3,0.16988321393728256,0.9777433574199677,0.978502818064019,10,-0.33122717291116716,-0.051789481192827225
3,0.14216048270463943,0.9787814319133759,0.9793089783569384,11,-0.33302733302116394,-0.31391334533691406
3,0.14605692774057388,0.9785822033882141,0.9790430808165553,12,-0.28753820806741714,-0.2407151758670807
3,0.17268788069486618,0.9790023863315582,0.9795033611319135,13,-0.17383067682385445,-0.04935132712125778
3,0.13557739555835724,0.9781562089920044,0.9789512145597405,14,-0.3430505662603537,-0.34495145082473755
3,0.15099091082811356,0.9784947037696838,0.9789827402334612,15,-0.16541362507268786,-0.1948266178369522
3,0.13317065685987473,0.9791617691516876,0.9798077017953812,16,-0.3016456663608551,-0.3291478753089905
3,0.131449855864048,0.9795252680778503,0.9801844329030247,17,-0.38758154436945913,-0.3793204128742218
3,0.1635919287800789,0.9798350036144257,0.9802406053607989,18,-0.18146271109580994,-0.09905960410833359
3,0.1348596066236496,0.9792661964893341,0.9798597791536349,19,0.0038437694311141968,-0.3554953336715698
3,0.13225805759429932,0.9798061549663544,0.9804975531819924,20,-0.4182005047798157,-0.3636920750141144
3,0.13466519862413406,0.9793590307235718,0.9798655939757956,21,-0.31595931351184847,-0.338390052318573
3,0.12993628531694412,0.9804276823997498,0.9807808912465281,22,-0.37690507173538207,-0.3843197822570801
3,0.12754684686660767,0.980605810880661,0.9809185615809849,23,-0.2887063756585121,-0.3921665847301483
3,0.1291264221072197,0.9801351428031921,0.980732060384004,24,-0.45942903459072115,-0.35539552569389343
3,0.12442052736878395,0.9806242287158966,0.9810921224451614,25,-0.2633564176503569,-0.419101357460022
3,0.12634827941656113,0.980744481086731,0.981155729039302,26,-0.3924613013863564,-0.39650559425354004
3,0.14352744072675705,0.9807808101177216,0.9810954114377863,27,-0.33157866895198823,-0.2529056668281555
3,0.12282583862543106,0.980720043182373,0.981610071147963,28,-0.5108888149261475,-0.432147353887558
3,0.1308508813381195,0.9801676571369171,0.9813763316377487,29,-0.24999289512634276,-0.3569204807281494
